Squad,Season,League,Pts,GD,Pts_P,GD_P,UEFA,Cup,Transfers,CSI
Espanyol,21-22,LaLiga,42,-13,26.6,27.6,0.0,45.0,6.0,22.115000000000002
Girona,18-19,LaLiga,37,-16,13.0,21.1,0.0,60.0,10.2,17.082500000000003
Cadiz,22-23,LaLiga,42,-23,26.6,10.0,0.0,0.0,12.38,11.895000000000001
Huesca,20-21,LaLiga,34,-19,10.0,15.5,0.0,15.0,4.65,9.7875
Sevilla,22-23,LaLiga,49,-7,49.7,46.2,65.0,60.0,30.4,53.417500000000004
Osasuna,19-20,LaLiga,52,-8,59.2,43.2,0.0,45.0,11.24,37.78
Sevilla,23-24,LaLiga,41,-6,21.6,47.7,15.0,60.0,19.19,32.27250000000001
Valencia,24-25,LaLiga,46,-10,41.7,37.1,0.0,60.0,2.87,31.610000000000003
Getafe,23-24,LaLiga,43,-12,33.6,28.6,0.0,45.0,22.25,24.715
Girona,22-23,LaLiga,49,3,49.7,64.3,0.0,15.0,22.0,38.550000000000004
Valencia,25-26,LaLiga,49,-9,49.7,40.2,0.0,60.0,16.5,35.2175
Malaga,16-17,LaLiga,46,-6,41.7,47.7,0.0,30.0,13.04,32.05500000000001
Espanyol,25-26,LaLiga,46,-12,41.7,28.6,0.0,15.0,15.2,24.347500000000004
Sevilla,24-25,LaLiga,41,-13,21.6,27.6,0.0,30.0,0.9,18.990000000000002
Girona,25-26,LaLiga,41,-16,21.6,21.1,0.0,15.0,27.35,15.377500000000001
Leganes,16-17,LaLiga,35,-19,10.5,15.5,0.0,30.0,5.45,11.450000000000001
Elche,20-21,LaLiga,36,-21,11.5,13.0,0.0,30.0,6.1,10.9625
Cadiz,23-24,LaLiga,33,-29,8.5,7.0,0.0,15.0,4.8,6.5375000000000005
Osasuna,23-24,LaLiga,45,-11,39.6,31.6,0.0,45.0,7.0,27.64
Alaves,25-26,LaLiga,43,-12,33.6,28.6,0.0,60.0,11.12,26.215
Leganes,24-25,LaLiga,40,-17,19.5,18.5,0.0,60.0,3.93,18.35
Eibar,19-20,LaLiga,42,-17,26.6,18.5,0.0,30.0,11.77,17.6575
Celta Vigo,24-25,LaLiga,55,2,65.3,63.8,0.0,45.0,11.2,46.4575
Celta Vigo,20-21,LaLiga,53,-2,60.8,58.2,0.0,15.0,3.0,40.175000000000004
Elche,25-26,LaLiga,43,-8,33.6,43.2,0.0,45.0,21.1,29.460000000000004
Levante,20-21,LaLiga,41,-11,21.6,31.6,0.0,75.0,0.0,24.790000000000003
Mallorca,25-26,LaLiga,42,-10,26.6,37.1,0.0,30.0,8.8,23.7025
Celta Vigo,23-24,LaLiga,41,-11,21.6,31.6,0.0,60.0,10.4,23.290000000000003
Alaves,20-21,LaLiga,38,-21,14.5,13.0,0.0,30.0,22.05,11.9375
Valladolid,20-21,LaLiga,31,-23,6.0,10.0,0.0,45.0,9.85,9.7
Sevilla,17-18,LaLiga,58,-9,69.3,40.2,70.0,90.0,78.05,62.0875
Athletic Club,25-26,LaLiga,45,-15,39.6,24.1,45.0,75.0,22.0,39.4525
Levante,17-18,LaLiga,46,-14,41.7,25.1,0.0,45.0,32.0,26.210000000000004
Cadiz,20-21,LaLiga,44,-22,37.6,12.0,0.0,30.0,10.1,19.12
Espanyol,19-20,LaLiga,25,-31,3.5,5.5,15.0,30.0,7.5,9.675
Real Sociedad,17-18,LaLiga,49,7,49.7,69.8,15.0,30.0,25.5,45.5875
Girona,17-18,LaLiga,51,-9,56.7,40.2,0.0,30.0,8.75,34.49250000000001
Alaves,19-20,LaLiga,39,-25,16.5,8.5,0.0,0.0,96.45,8.125
Celta Vigo,17-18,LaLiga,49,-1,49.7,60.3,0.0,45.0,10.0,40.25
Girona,24-25,LaLiga,41,-16,21.6,21.1,45.0,15.0,50.2,26.6275
Sevilla,25-26,LaLiga,43,-14,33.6,25.1,0.0,30.0,0.25,22.0775
Real Betis,19-20,LaLiga,41,-12,21.6,28.6,0.0,30.0,14.6,19.315
Oviedo,25-26,LaLiga,29,-34,4.5,4.0,0.0,0.0,4.0,2.7625
Real Betis,17-18,LaLiga,60,-1,71.8,60.3,0.0,30.0,38.5,45.9325
Real Sociedad,25-26,LaLiga,46,-2,41.7,58.2,0.0,100.0,21.5,42.4675
Levante,25-26,LaLiga,42,-14,26.6,25.1,0.0,30.0,5.2,19.802500000000002
Dep. La Coruna,16-17,LaLiga,36,-18,11.5,17.5,0.0,45.0,7.0,13.925
Granada,21-22,LaLiga,38,-17,14.5,18.5,0.0,15.0,19.04,12.225
Las Palmas,24-25,LaLiga,32,-21,7.5,13.0,0.0,30.0,4.0,9.662500000000001
Malaga,17-18,LaLiga,20,-37,0.5,3.0,0.0,30.0,17.5,4.1375
Celta Vigo,18-19,LaLiga,41,-9,21.6,40.2,0.0,30.0,30.0,23.085
Mallorca,21-22,LaLiga,39,-27,16.5,8.0,0.0,60.0,10.0,13.9625
Valladolid,22-23,LaLiga,40,-30,19.5,6.0,0.0,30.0,12.3,11.2875
Real Betis,16-17,LaLiga,39,-23,16.5,10.0,0.0,30.0,20.9,11.6125
Villarreal,23-24,LaLiga,53,0,60.8,62.3,35.0,30.0,11.0,51.7575
Granada,20-21,LaLiga,46,-18,41.7,17.5,35.0,60.0,23.5,33.99
Valencia,16-17,LaLiga,46,-9,41.7,40.2,0.0,45.0,36.0,31.117500000000003
Almeria,22-23,LaLiga,41,-16,21.6,21.1,0.0,0.0,37.08,13.877500000000001
Huesca,18-19,LaLiga,33,-22,8.5,12.0,0.0,30.0,9.0,9.662500000000001
Mallorca,19-20,LaLiga,33,-25,8.5,8.5,0.0,30.0,18.45,8.525
Alaves,21-22,LaLiga,31,-34,6.0,4.0,0.0,15.0,1.6,4.75
Levante,18-19,LaLiga,44,-7,37.6,46.2,0.0,45.0,26.3,31.735000000000003
Elche,22-23,LaLiga,25,-37,3.5,3.0,0.0,30.0,13.16,5.112500000000001
Celta Vigo,16-17,LaLiga,45,-16,39.6,21.1,45.0,75.0,8.4,38.477500000000006
Espanyol,22-23,LaLiga,37,-17,13.0,18.5,0.0,45.0,20.6,14.7375
Rayo Vallecano,18-19,LaLiga,32,-29,7.5,7.0,0.0,30.0,12.3,7.7125
Sporting Gijon,16-17,LaLiga,31,-30,6.0,6.0,0.0,30.0,1.0,6.9
Las Palmas,16-17,LaLiga,39,-21,16.5,13.0,0.0,45.0,2.9,14.0875
Las Palmas,17-18,LaLiga,22,-50,2.5,1.5,0.0,45.0,0.35,5.8
Almeria,23-24,LaLiga,21,-32,1.5,5.0,0.0,15.0,6.0,3.6125000000000003
Levante,21-22,LaLiga,35,-25,10.5,8.5,0.0,30.0,0.88,9.175
Dep. La Coruna,17-18,LaLiga,29,-38,4.5,2.5,0.0,30.0,9.5,5.275
Granada,23-24,LaLiga,21,-41,1.5,2.0,0.0,0.0,0.0,1.1375
Granada,16-17,LaLiga,20,-52,0.5,1.0,0.0,30.0,11.58,3.4875
Valladolid,24-25,LaLiga,16,-64,0.0,0.0,0.0,30.0,16.68,3.0
Osasuna,16-17,LaLiga,22,-54,2.5,0.5,0.0,45.0,2.2,5.475
Liverpool,18-19,Premier,97,67,98.4,97.4,100.0,0.0,192.2,88.635
Manchester City,22-23,Premier,89,61,95.4,95.9,100.0,100.0,155.0,97.17250000000001
