Squad,Season,League,Pts,GD,PtsPerc,GDPerc,UEFAScore,Transfers,CSI
Atletico Madrid,21-22,LaLiga,71,22,83.9,81.9,70,85.7,79.03
Espanyol,19-20,LaLiga,25,-31,3.5,5.5,15,7.5,7.65
Atletico Madrid,20-21,LaLiga,86,42,94.4,92.4,60,92.0,83.38
Atletico Madrid,17-18,LaLiga,79,36,90.9,88.9,65,95.6,82.43
Osasuna,25-26,LaLiga,42,-6,26.6,47.7,0,30.5,26.005
Real Betis,18-19,LaLiga,50,-8,54.2,43.2,15,47.0,38.59
Villarreal,24-25,LaLiga,70,20,81.4,79.3,0,69.0,56.245
Mallorca,21-22,LaLiga,39,-27,16.5,8,0,10.0,8.575
Valencia,16-17,LaLiga,46,-9,41.7,40.2,0,36.0,28.665
Sevilla,17-18,LaLiga,58,-9,69.3,40.2,70,78.05,59.325
Barcelona,20-21,LaLiga,79,47,90.9,94.4,60,111.94,82.855
Valencia,19-20,LaLiga,53,-7,60.8,46.2,60,75.0,55.45
Barcelona,16-17,LaLiga,90,79,97.9,100,70,124.75,90.265
Huesca,18-19,LaLiga,33,-22,8.5,12,0,9.0,7.175
Sevilla,18-19,LaLiga,59,15,70.3,75.8,25,81.05,58.635
Levante,17-18,LaLiga,46,-14,41.7,25.1,0,32.0,23.38
Celta Vigo,18-19,LaLiga,41,-9,21.6,40.2,0,30.0,21.63
Valladolid,22-23,LaLiga,40,-30,19.5,6,0,12.3,8.925
Barcelona,18-19,LaLiga,87,54,95.9,96.9,80,141.1,91.48
Real Madrid,23-24,LaLiga,95,61,100,97.9,100,161.5,99.265
Getafe,24-25,LaLiga,42,-5,26.6,52.2,0,45.2,27.58
Oviedo,25-26,LaLiga,29,-34,4.5,4,0,4.0,2.975
Granada,21-22,LaLiga,38,-17,14.5,18.5,0,19.04,11.55
Villarreal,25-26,LaLiga,72,26,84.9,85.4,0,105.5,59.605
Girona,24-25,LaLiga,41,-16,21.6,21.1,45,50.2,28.445
Girona,25-26,LaLiga,41,-16,21.6,21.1,0,27.35,14.945
Valladolid,20-21,LaLiga,31,-23,6,10,0,9.85,5.6
Real Madrid,25-26,LaLiga,86,42,94.4,92.4,70,167.5,86.38
Espanyol,22-23,LaLiga,37,-17,13,18.5,0,20.6,11.025
Valencia,18-19,LaLiga,61,16,74.8,76.3,45,129.2,66.385
Barcelona,22-23,LaLiga,88,50,96.9,95.9,45,159.0,80.98
Atletico Madrid,18-19,LaLiga,76,26,86.9,85.4,60,168.0,78.305
Villarreal,18-19,LaLiga,44,-3,37.6,56.2,35,92.9,43.33
Real Madrid,18-19,LaLiga,68,17,79.8,77.8,60,164.75,73.16
Atletico Madrid,24-25,LaLiga,76,38,86.9,89.9,70,188.0,82.88
Real Betis,16-17,LaLiga,39,-23,16.5,10,0,20.9,9.275
Alaves,20-21,LaLiga,38,-21,14.5,13,0,22.05,9.625
Almeria,22-23,LaLiga,41,-16,21.6,21.1,0,37.08,14.945
Rayo Vallecano,18-19,LaLiga,32,-29,7.5,7,0,12.3,5.075
Atletico Madrid,25-26,LaLiga,69,18,80.9,78.3,80,230.95,79.72
Leganes,19-20,LaLiga,36,-21,11.5,13,0,24.6,8.575
Osasuna,16-17,LaLiga,22,-54,2.5,0.5,0,2.2,1.05
Almeria,23-24,LaLiga,21,-32,1.5,5,0,6.0,2.275
Mallorca,19-20,LaLiga,33,-25,8.5,8.5,0,18.45,5.95
Sevilla,19-20,LaLiga,70,20,81.4,79.3,65,247.35,75.745
Las Palmas,23-24,LaLiga,40,-14,19.5,25.1,0,54.75,15.61
Villarreal,19-20,LaLiga,60,14,71.8,75.3,0,188.73,51.485
Atletico Madrid,19-20,LaLiga,70,24,81.4,83.9,70,304.0,78.855
Barcelona,19-20,LaLiga,82,48,92.4,94.9,70,361.3,86.555
Dep. La Coruna,17-18,LaLiga,29,-38,4.5,2.5,0,9.5,2.45
Barcelona,17-18,LaLiga,93,70,98.4,99.4,70,388.1,90.23
Elche,22-23,LaLiga,25,-37,3.5,3,0,13.16,2.275
Alaves,19-20,LaLiga,39,-25,16.5,8.5,0,96.45,8.75
Malaga,17-18,LaLiga,20,-37,0.5,3,0,17.5,1.225
Granada,16-17,LaLiga,20,-52,0.5,1,0,11.58,0.525
Valladolid,24-25,LaLiga,16,-64,0,0,0,16.68,0
Tottenham,18-19,Premier,71,28,83.4,83.9,90,0.0,85.555
Liverpool,19-20,Premier,99,52,99.4,94.4,60,10.4,85.83
Burnley,20-21,Premier,39,-22,19,20.6,0,1.1,13.86
Crystal Palace,18-19,Premier,49,-2,47.2,51.7,0,11.85,34.615
Crystal Palace,19-20,Premier,43,-19,31.1,24.1,0,7.6,19.32
Liverpool,24-25,Premier,84,45,92.9,91.9,60,42.0,82.68
Chelsea,19-20,Premier,66,15,75.3,73.3,60,45.0,70.01
Burnley,19-20,Premier,54,-7,57.7,43.7,0,23.85,35.49
Manchester City,18-19,Premier,98,72,98.9,98.9,70,78.59,90.23
Watford,18-19,Premier,50,-7,50.7,43.7,0,30.1,33.04
Liverpool,21-22,Premier,92,68,96.9,98.4,90,89.0,95.355
Burnley,17-18,Premier,54,-3,57.7,49.7,0,35.74,37.59
Leicester City,20-21,Premier,66,18,75.3,75.8,20,59.4,58.885
Tottenham,16-17,Premier,86,60,94.4,95.4,45,83.5,79.93
Aston Villa,25-26,Premier,65,7,73.8,63.3,65,70.5,67.485
Brentford,22-23,Premier,59,12,64.8,69.8,0,49.25,47.11
West Ham,20-21,Premier,65,15,73.8,73.3,0,54.7,51.485
Brighton,22-23,Premier,62,19,71.3,76.8,0,55.7,51.835
Liverpool,20-21,Premier,69,26,80.4,82.9,70,84.8,78.155
Wolves,21-22,Premier,51,-5,51.2,48.2,0,37.6,34.79
Arsenal,18-19,Premier,70,22,82.4,78.8,55,80.15,72.92
Manchester Utd,18-19,Premier,66,11,75.3,68.8,70,82.7,71.435
Manchester Utd,20-21,Premier,74,29,86.4,85.4,55,89.95,76.63
Arsenal,24-25,Premier,74,35,86.4,87.4,80,107.6,84.83
Newcastle,24-25,Premier,66,21,75.3,77.8,0,68.2,53.585
West Ham,21-22,Premier,56,9,61.3,66.8,45,74.5,58.335
Liverpool,16-17,Premier,76,36,89.4,88.4,0,79.9,62.23
Brentford,21-22,Premier,46,-8,41.7,42.2,0,38.2,29.365
Arsenal,20-21,Premier,61,16,69.3,75.3,45,86.0,64.11
West Brom,16-17,Premier,45,-8,37.1,42.2,0,37.9,27.755
Chelsea,21-22,Premier,74,43,86.4,90.9,70,118.0,83.055
Arsenal,16-17,Premier,75,33,87.9,86.9,60,113.0,79.18
Leicester City,21-22,Premier,52,3,52.2,59.2,25,67.6,46.49
Manchester City,21-22,Premier,93,73,97.4,99.4,80,138.9,92.88
Tottenham,17-18,Premier,77,38,89.9,88.9,60,121.0,80.58
Bournemouth,16-17,Premier,46,-12,41.7,36.6,0,40.69,27.405
Everton,24-25,Premier,48,-2,45.2,51.7,0,50.64,33.915
Tottenham,21-22,Premier,71,29,83.4,85.4,5,95.9,60.58
Manchester City,22-23,Premier,89,61,95.4,95.9,100,155.0,96.955
Bournemouth,17-18,Premier,44,-16,32.6,28.1,0,34.3,21.245
Everton,16-17,Premier,61,18,69.3,75.8,0,86.0,50.785
Newcastle,20-21,Premier,45,-16,37.1,28.1,0,38.75,22.82
Crystal Palace,22-23,Premier,45,-9,37.1,39.6,0,46.6,26.845
Everton,20-21,Premier,59,-1,64.8,54.2,0,74.37,41.65
Newcastle,17-18,Premier,44,-8,32.6,42.2,0,46.5,26.18
Aston Villa,23-24,Premier,68,15,79.8,73.3,25,111.5,61.085
Sheffield United,19-20,Premier,54,0,57.7,56.2,0,72.5,39.865
Tottenham,20-21,Premier,62,23,71.3,79.8,25,110.5,60.385
Manchester City,20-21,Premier,86,51,94.4,93.9,90,173.4,92.905
Liverpool,22-23,Premier,67,28,78.8,83.9,60,140.9,74.945
Liverpool,17-18,Premier,75,46,87.9,93.4,90,173.65,90.455
Crystal Palace,23-24,Premier,49,-1,47.2,54.2,0,67.8,35.49
Southampton,19-20,Premier,52,-9,52.2,39.6,0,61.5,32.13
Leicester City,19-20,Premier,62,26,71.3,82.9,0,104.3,53.97
Stoke City,16-17,Premier,44,-15,32.6,30.6,0,42.17,22.12
Liverpool,18-19,Premier,97,67,98.4,97.4,100,192.2,98.53
Manchester City,19-20,Premier,81,67,91.4,97.4,70,169.82,87.08
Crystal Palace,20-21,Premier,44,-25,32.6,16,0,32.4,17.01
Everton,23-24,Premier,40,-11,22.6,37.6,0,40.5,21.07
Fulham,22-23,Premier,52,2,52.2,58.7,0,76.1,38.815
Chelsea,16-17,Premier,93,52,97.4,94.4,0,132.8,67.13
Brighton,25-26,Premier,53,6,56.2,62.3,0,82.0,41.475
Southampton,16-17,Premier,46,-7,41.7,43.7,15,68.9,34.39
Wolves,19-20,Premier,59,11,64.8,68.8,35,116.7,57.26
Newcastle,18-19,Premier,45,-6,37.1,46.2,0,59.75,29.155
Southampton,20-21,Premier,43,-21,31.1,21.1,0,37.3,18.27
Nottingham,24-25,Premier,65,12,73.8,69.8,0,105.5,50.26
Brighton,21-22,Premier,51,-2,51.2,51.7,0,75.58,36.015
Leicester City,16-17,Premier,44,-15,32.6,30.6,70,92.1,43.12
Fulham,25-26,Premier,52,-4,52.2,48.7,0,75.7,35.315
Brighton,20-21,Premier,41,-6,26.1,46.2,0,54.6,25.305
Brentford,24-25,Premier,56,9,61.3,66.8,0,98.4,44.835
Aston Villa,20-21,Premier,55,9,60.8,66.8,0,101.35,44.66
Tottenham,19-20,Premier,59,14,64.8,72.3,60,150.5,65.985
Arsenal,17-18,Premier,63,23,72.8,79.8,45,152.85,66.91
Crystal Palace,17-18,Premier,44,-10,32.6,38.1,0,55.95,24.745
Liverpool,23-24,Premier,82,45,92.4,91.9,35,172.0,75.005
Fulham,24-25,Premier,54,0,57.7,56.2,0,91.55,39.865
Crystal Palace,21-22,Premier,48,4,45.2,60.8,0,85.62,37.1
Burnley,18-19,Premier,40,-23,22.6,19,0,33.0,14.56
Everton,18-19,Premier,54,8,57.7,65.3,0,99.8,43.05
Fulham,23-24,Premier,47,-6,43.7,46.2,0,73.17,31.465
Crystal Palace,24-25,Premier,53,0,56.2,56.2,0,91.9,39.34
Manchester Utd,21-22,Premier,58,0,64.3,56.2,60,142.0,60.175
Newcastle,23-24,Premier,60,23,67.3,79.8,45,156.3,64.985
Manchester Utd,16-17,Premier,69,25,80.4,82.4,65,185.0,76.48
Manchester Utd,17-18,Premier,81,40,91.4,89.4,60,198.4,81.28
Aston Villa,22-23,Premier,61,5,69.3,61.8,0,113.0,45.885
Arsenal,22-23,Premier,84,45,92.9,91.9,25,186.2,72.18
Leicester City,17-18,Premier,47,-4,43.7,48.7,0,83.85,32.34
Burnley,16-17,Premier,40,-16,22.6,28.1,0,45.6,17.745
Manchester City,16-17,Premier,78,41,90.4,89.9,60,216.25,81.105
Arsenal,23-24,Premier,89,62,95.4,96.4,70,235.1,88.13
Chelsea,18-19,Premier,72,24,85.9,81.4,65,208.8,78.055
Brentford,25-26,Premier,53,3,56.2,59.2,0,108.7,40.39
Wolves,18-19,Premier,57,1,63.3,58.2,0,117.5,42.525
Brighton,23-24,Premier,48,-7,45.2,43.7,25,106.85,38.615
Leeds United,20-21,Premier,59,8,64.8,65.3,0,127.8,45.535
West Ham,18-19,Premier,52,-3,52.2,49.7,0,100.9,35.665
Tottenham,22-23,Premier,60,7,67.3,63.3,60,181.7,63.71
Manchester City,23-24,Premier,91,62,96.4,96.4,70,259.6,88.48
Leicester City,18-19,Premier,52,3,52.2,59.2,0,114.6,38.99
Everton,21-22,Premier,39,-23,19,19,0,39.5,13.3
Aston Villa,24-25,Premier,66,7,75.3,63.3,70,214.2,69.51
Chelsea,20-21,Premier,67,22,78.8,78.8,100,267.2,85.16
Brighton,19-20,Premier,41,-15,26.1,30.6,0,61.74,19.845
Arsenal,21-22,Premier,69,13,80.4,71.3,0,167.4,53.095
Newcastle,22-23,Premier,71,35,83.4,87.4,0,189.1,59.78
